Feature,Importance
"Genre_Drama, History",3.609128202640595e-05
"Genre_Action, Thriller",3.6087084012647644e-05
"Genre_Comedy, Drama, Musical",3.566959196095626e-05
"Genre_Adventure, Mystery, Thriller",3.3435233161127044e-05
"Genre_Animation, Action, Drama",3.323693765460232e-05
"Genre_Family, Fantasy, Musical",3.318322426668348e-05
"Genre_Adventure, Drama, Romance",3.207171830892199e-05
"Genre_Drama, History, Thriller",3.19809705996497e-05
"Genre_Mystery, Sci-Fi, Thriller",3.1655114855600685e-05
"Genre_Action, Comedy, Fantasy",2.8662419654154293e-05
"Genre_Adventure, Thriller",2.7879727481582084e-05
"Genre_Mystery, Romance, Thriller",2.7605418279952566e-05
"Genre_Adventure, Drama, Western",2.63829717189746e-05
Director_Darren Aronofsky,2.582706887124829e-05
"Genre_Comedy, Crime",2.5248657052136308e-05
"Genre_Action, Adventure, Horror",2.496333622222505e-05
Director_J.J. Abrams,2.4309765812480843e-05
Director_John McTiernan,2.3705230796964288e-05
"Genre_Action, Sci-Fi, Thriller",2.2636676913306927e-05
"Genre_Action, Comedy, Mystery",2.0103677401511333e-05
"Genre_Family, Sci-Fi",1.9085911775654158e-05
"Genre_Comedy, Drama, Music",1.6868559771241707e-05
"Genre_Comedy, Family",1.5970227993420626e-05
Director_Edward Zwick,1.3277837232240123e-05
"Genre_Animation, Biography, Drama",1.2578397413549562e-05
Director_Federico Fellini,1.24572347842569e-05
"Genre_Adventure, Horror, Sci-Fi",1.2271261058711501e-05
"Genre_Fantasy, Horror",1.2241728545947602e-05
"Genre_Crime, Film-Noir, Mystery",1.0226232542630891e-05
"Genre_Comedy, Music",9.425641556787373e-06
"Genre_Crime, Drama, History",8.577756578024556e-06
"Genre_Crime, Drama, Sci-Fi",7.248945035331777e-06
"Genre_Comedy, Crime, Thriller",7.02051193472175e-06
Director_Thomas Vinterberg,5.818902965987634e-06
Director_Norman Jewison,5.334036317270742e-06
"Genre_Animation, Comedy, Crime",5.219677424726811e-06
"Genre_Film-Noir, Thriller",4.003685700861292e-06
